D;Delta;env;chi;eng
2;0.16321030268572984;BP;1;-194.33843714888314
4;0.0705717283462443;BP;1;-190.53300791353564
8;0.009129802475546902;BP;1;-188.41675795205535
16;4.7846929705081356e-15;BP;1;-188.34167294317982
32;4.7846929705081356e-15;BP;1;-188.34167294317982
2;0.16321030268572984;CTM;2;-194.3383472850196
2;0.16321030268572984;CTM;4;-194.33837016713053
2;0.16321030268572984;CTM;8;-194.33837016713053
8;0.009129802475546902;CTM;2;-188.41683265296086
8;0.009129802475546902;CTM;4;-188.41682598414374
8;0.009129802475546902;CTM;8;-188.41683559983608
4;0.0705717283462443;CTM;2;-190.53292022577375
4;0.0705717283462443;CTM;4;-190.53290320501554
4;0.0705717283462443;CTM;8;-190.53295879327976
32;4.7846929705081356e-15;CTM;2;-188.34207868170296
32;4.7846929705081356e-15;CTM;4;-188.34178480420442
16;4.7846929705081356e-15;CTM;2;-188.34207868170296
32;4.7846929705081356e-15;CTM;8;-188.34178480420445
16;4.7846929705081356e-15;CTM;4;-188.34178480420442
16;4.7846929705081356e-15;CTM;8;-188.34178480420445
32;4.7301248985201336e-15;BP;1;-188.34167294317982
64;4.7846929705081356e-15;BP;1;-188.34167294317982
